# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 3.000000e-03
# lRef        : 2.000000e-01
# Aref        : 2.000000e-02
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
498.35400494904638	2.027895e+00	1.013947e+00	1.013948e+00	1.377221e-06	5.153389e-07	8.618825e-07	-1.732718e-07	-3.419851e-07	5.069738e-01	2.912074e-07	5.069739e-01	-5.069737e-01
498.96229682722912	2.027810e+00	1.013906e+00	1.013904e+00	-4.399917e-06	-2.378439e-06	-2.021477e-06	-1.784812e-07	1.103256e-06	5.069525e-01	2.928759e-07	5.069527e-01	-5.069524e-01
499.57059596964331	2.027753e+00	1.013877e+00	1.013876e+00	-2.695437e-06	-1.526834e-06	-1.168603e-06	-1.791152e-07	6.627524e-07	5.069383e-01	2.934455e-07	5.069385e-01	-5.069382e-01
500.17890235696672	2.027680e+00	1.013841e+00	1.013840e+00	-2.313200e-06	-1.334765e-06	-9.784353e-07	-1.781647e-07	5.665897e-07	5.069201e-01	2.932201e-07	5.069202e-01	-5.069199e-01
500.7872159554488	2.027610e+00	1.013806e+00	1.013805e+00	-1.950639e-06	-1.151659e-06	-7.989803e-07	-1.763393e-07	4.766403e-07	5.069026e-01	2.925235e-07	5.069027e-01	-5.069024e-01
501.39553674378203	2.027539e+00	1.013770e+00	1.013769e+00	-1.756111e-06	-1.052213e-06	-7.038976e-07	-1.741577e-07	4.282973e-07	5.068848e-01	2.918540e-07	5.068850e-01	-5.068847e-01
502.00386470288885	2.027469e+00	1.013735e+00	1.013734e+00	-1.625712e-06	-9.847082e-07	-6.410041e-07	-1.718521e-07	3.956093e-07	5.068673e-01	2.913062e-07	5.068675e-01	-5.068672e-01
502.61219981506849	2.027399e+00	1.013700e+00	1.013699e+00	-1.499280e-06	-9.192257e-07	-5.800542e-07	-1.695857e-07	3.642823e-07	5.068498e-01	2.907920e-07	5.068499e-01	-5.068496e-01
503.22054206304387	2.027329e+00	1.013665e+00	1.013664e+00	-1.396624e-06	-8.657051e-07	-5.309185e-07	-1.673933e-07	3.391393e-07	5.068324e-01	2.902817e-07	5.068326e-01	-5.068323e-01
503.82889143011664	2.027258e+00	1.013630e+00	1.013629e+00	-1.346978e-06	-8.387869e-07	-5.081909e-07	-1.652980e-07	3.252988e-07	5.068147e-01	2.899084e-07	5.068148e-01	-5.068145e-01
504.43724789924858	2.027190e+00	1.013595e+00	1.013595e+00	-1.229133e-06	-7.777621e-07	-4.513712e-07	-1.631954e-07	2.983742e-07	5.067976e-01	2.898541e-07	5.067978e-01	-5.067975e-01
505.04561145414567	2.027121e+00	1.013561e+00	1.013560e+00	-1.057493e-06	-6.901087e-07	-3.673839e-07	-1.613624e-07	2.548160e-07	5.067804e-01	2.892959e-07	5.067806e-01	-5.067803e-01
505.65398207818646	2.027052e+00	1.013526e+00	1.013526e+00	-1.036867e-06	-6.779566e-07	-3.589105e-07	-1.595230e-07	2.498525e-07	5.067630e-01	2.889524e-07	5.067632e-01	-5.067629e-01
