# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e-02
# lRef        : 2.000000e-01
# Aref        : 1.000000e-02
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.06          	1.619984e+04	8.100807e+03	8.099034e+03	-3.534262e+00	-1.767165e+00	-1.767097e+00	-3.377721e-05	8.863120e-01	4.049942e+03	-7.184726e-02	4.049906e+03	-4.049978e+03
0.0776066     	-7.520300e+02	-3.772046e+02	-3.748254e+02	4.754775e+00	2.378790e+00	2.375985e+00	1.402594e-03	-1.189579e+00	-1.880075e+02	7.922411e-06	-1.880075e+02	1.880075e+02
0.0942815     	2.010961e+02	1.006450e+02	1.004511e+02	-3.820549e-01	-1.902932e-01	-1.917617e-01	7.342908e-04	9.695453e-02	5.027373e+01	-2.540459e-04	5.027360e+01	-5.027386e+01
0.111114      	1.433121e+02	7.175053e+01	7.156159e+01	-3.778363e-01	-1.883386e-01	-1.894976e-01	5.795044e-04	9.446789e-02	3.582800e+01	-2.264087e-04	3.582789e+01	-3.582811e+01
0.128081      	1.282678e+02	6.420994e+01	6.405782e+01	-3.040827e-01	-1.515769e-01	-1.525058e-01	4.644283e-04	7.605735e-02	3.206700e+01	-2.036271e-04	3.206690e+01	-3.206710e+01
0.145178      	1.161933e+02	5.817903e+01	5.801429e+01	-3.292363e-01	-1.642296e-01	-1.650067e-01	3.885948e-04	8.236772e-02	2.904837e+01	-1.888133e-04	2.904827e+01	-2.904846e+01
0.162395      	1.070225e+02	5.359859e+01	5.342395e+01	-3.490912e-01	-1.742098e-01	-1.748814e-01	3.358159e-04	8.731864e-02	2.675564e+01	-1.726679e-04	2.675556e+01	-2.675573e+01
0.179707      	9.999454e+01	5.009277e+01	4.990177e+01	-3.818342e-01	-1.906205e-01	-1.912138e-01	2.966329e-04	9.549937e-02	2.499865e+01	-1.632840e-04	2.499857e+01	-2.499873e+01
0.197095      	9.453253e+01	4.735798e+01	4.717455e+01	-3.667326e-01	-1.831002e-01	-1.836324e-01	2.661315e-04	9.171473e-02	2.363314e+01	-1.481956e-04	2.363307e+01	-2.363321e+01
0.214586      	9.012419e+01	4.515151e+01	4.497268e+01	-3.576257e-01	-1.785715e-01	-1.790542e-01	2.413259e-04	8.941747e-02	2.253106e+01	-1.352919e-04	2.253099e+01	-2.253113e+01
0.232205      	8.643680e+01	4.330884e+01	4.312796e+01	-3.615852e-01	-1.805727e-01	-1.810124e-01	2.198683e-04	9.043643e-02	2.160921e+01	-1.250590e-04	2.160915e+01	-2.160928e+01
0.249961      	8.330642e+01	4.174396e+01	4.156246e+01	-3.628303e-01	-1.812135e-01	-1.816168e-01	2.016671e-04	9.075192e-02	2.082662e+01	-1.151280e-04	2.082656e+01	-2.082667e+01
0.267814      	8.059955e+01	4.039336e+01	4.020619e+01	-3.741622e-01	-1.868954e-01	-1.872669e-01	1.857555e-04	9.358558e-02	2.014989e+01	-1.065425e-04	2.014984e+01	-2.014995e+01
0.285771      	7.828036e+01	3.923157e+01	3.904879e+01	-3.653570e-01	-1.825070e-01	-1.828500e-01	1.714998e-04	9.138754e-02	1.957009e+01	-9.818281e-05	1.957005e+01	-1.957014e+01
0.303835      	7.628755e+01	3.823572e+01	3.805183e+01	-3.676062e-01	-1.836437e-01	-1.839624e-01	1.593398e-04	9.194363e-02	1.907189e+01	-8.831965e-05	1.907184e+01	-1.907193e+01
0.322004      	7.446622e+01	3.732404e+01	3.714219e+01	-3.634914e-01	-1.815972e-01	-1.818942e-01	1.485222e-04	9.092453e-02	1.861656e+01	-7.995835e-05	1.861652e+01	-1.861660e+01
0.340279      	7.286836e+01	3.652486e+01	3.634350e+01	-3.624794e-01	-1.811004e-01	-1.813790e-01	1.392913e-04	9.067545e-02	1.821709e+01	-7.400297e-05	1.821705e+01	-1.821712e+01
0.358656      	7.143727e+01	3.581256e+01	3.562470e+01	-3.755010e-01	-1.876187e-01	-1.878823e-01	1.318292e-04	9.393209e-02	1.785931e+01	-6.796704e-05	1.785928e+01	-1.785935e+01
0.377131      	7.014634e+01	3.517002e+01	3.497631e+01	-3.871914e-01	-1.934705e-01	-1.937209e-01	1.252174e-04	9.685560e-02	1.753658e+01	-6.113128e-05	1.753655e+01	-1.753661e+01
0.395703      	6.899514e+01	3.459657e+01	3.439858e+01	-3.957731e-01	-1.977668e-01	-1.980063e-01	1.197118e-04	9.899527e-02	1.724879e+01	-5.606680e-05	1.724876e+01	-1.724881e+01
0.414356      	6.788320e+01	3.403884e+01	3.384436e+01	-3.886027e-01	-1.941883e-01	-1.944144e-01	1.130346e-04	9.724005e-02	1.697080e+01	-5.331564e-05	1.697077e+01	-1.697083e+01
0.433031      	6.694415e+01	3.356909e+01	3.337506e+01	-3.877472e-01	-1.937668e-01	-1.939804e-01	1.068245e-04	9.701689e-02	1.673603e+01	-4.848137e-05	1.673601e+01	-1.673605e+01
0.451729      	6.609834e+01	3.314609e+01	3.295225e+01	-3.873567e-01	-1.935774e-01	-1.937793e-01	1.009616e-04	9.692029e-02	1.652457e+01	-4.371206e-05	1.652455e+01	-1.652459e+01
0.47045       	6.534447e+01	3.276941e+01	3.257506e+01	-3.883550e-01	-1.940817e-01	-1.942732e-01	9.572906e-05	9.717352e-02	1.633611e+01	-4.128647e-05	1.633609e+01	-1.633613e+01
0.489194      	6.466688e+01	3.243192e+01	3.223496e+01	-3.934931e-01	-1.966556e-01	-1.968375e-01	9.094498e-05	9.847726e-02	1.616671e+01	-3.808785e-05	1.616669e+01	-1.616673e+01
0.507963      	6.405024e+01	3.212259e+01	3.192765e+01	-3.894516e-01	-1.946383e-01	-1.948133e-01	8.749871e-05	9.746721e-02	1.601255e+01	-3.370690e-05	1.601253e+01	-1.601257e+01
0.526756      	6.348458e+01	3.183956e+01	3.164501e+01	-3.886585e-01	-1.942458e-01	-1.944127e-01	8.342673e-05	9.727439e-02	1.587113e+01	-3.131030e-05	1.587112e+01	-1.587115e+01
0.545575      	6.297687e+01	3.158660e+01	3.139027e+01	-3.922058e-01	-1.960232e-01	-1.961825e-01	7.965543e-05	9.816761e-02	1.574421e+01	-2.847462e-05	1.574419e+01	-1.574422e+01
0.564419      	6.251390e+01	3.135360e+01	3.116029e+01	-3.861228e-01	-1.929850e-01	-1.931378e-01	7.644032e-05	9.665349e-02	1.562847e+01	-2.724112e-05	1.562845e+01	-1.562848e+01
0.583288      	6.210385e+01	3.114952e+01	3.095434e+01	-3.898485e-01	-1.948497e-01	-1.949987e-01	7.451327e-05	9.759111e-02	1.552595e+01	-2.540351e-05	1.552594e+01	-1.552597e+01
0.602183      	6.175507e+01	3.097392e+01	3.078115e+01	-3.850199e-01	-1.924375e-01	-1.925824e-01	7.243274e-05	9.638729e-02	1.543876e+01	-2.265475e-05	1.543875e+01	-1.543877e+01
0.6211        	6.143882e+01	3.081662e+01	3.062219e+01	-3.883167e-01	-1.940882e-01	-1.942285e-01	7.016690e-05	9.721576e-02	1.535970e+01	-1.940198e-05	1.535969e+01	-1.535971e+01
0.640025      	6.115632e+01	3.067628e+01	3.048004e+01	-3.919050e-01	-1.958847e-01	-1.960203e-01	6.781784e-05	9.811741e-02	1.528907e+01	-1.706413e-05	1.528907e+01	-1.528908e+01
0.65896       	6.090438e+01	3.054992e+01	3.035446e+01	-3.903445e-01	-1.951024e-01	-1.952421e-01	6.981465e-05	9.773006e-02	1.522609e+01	-1.478258e-05	1.522608e+01	-1.522609e+01
